lemma;term
discipline;disciplines
discipline;disciplined
discipline;disciplining
disclaimer;disclaimers
disclose;disclosed
disclose;discloses
disclose;disclosing
disclosure;disclosures
discontinue;discontinuing
discontinue;discontinued
discontinue;discontinues
discount;discounted
discount;discounting
discount;discounts
discovery;discoveries
discrepancy;discrepancies
discrimination;discriminations
discuss;discussing
discuss;discusses
discuss;discussed
discussion;discussions
diseconomy;diseconomies
dishonour;dishonours
dishonour;dishonoured
dishonour;dishonouring
dislocate;dislocates
dislocate;dislocated
dislocate;dislocating
dismantling;dismantlings
dismiss;dismissed
dismiss;dismissing
dismiss;dismisses
dismissal;dismissals
dispatch;dispatched
dispatch;dispatches
dispatch;dispatching
dispenser;dispensers
display;displayed
display;displays
display;displaying
disposable;disposables
disposal;disposals
dispose;disposed
dispose;disposes
dispose;disposing
disposition;dispositions
disproportionate;disproportionating
dispute;disputes
dispute;disputing
dispute;disputed
disqualification;disqualifications
dissent;dissents
dissent;dissenting
dissent;dissented
dissolution;dissolutions
distinction;distinctions
distinguish;distinguished
distinguish;distinguishing
distinguish;distinguishes
distortion;distortions
distress;distressed
distress;distresses
distribute;distributing
distribute;distributed
distribute;distributes
distribution;distributions
distributor;distributors
dit;dits
divergence;divergences
diversification;diversifications
diversify;diversifying
diversify;diversified
diversify;diversifies
diversity;diversities
divest;divested
divest;divesting
divest;divests
divestment;divestments
divide;divided
divide;divides
divide;dividing
dividend;dividends
division;divisions
divisional;divisionals
do;does
do;done
do;d'
do;doth
do;du
do;dos
do;do's
do;doe
dobra;dobras
dock;docks
dock;docked
doctor;doctors
doctrine;doctrines
document;documents
document;documented
document;documenting
documentary;documentaries
documentation;documentations
dog;dogs
dog;dogged
dog;dogging
dollar;dollars
domain;domains
domestic;domestics
domicile;domiciled
domicile;domiciles
dominant;dominants
donate;donated
donate;donating
donate;donates
donation;donations
dong;dongs
donor;donors
door;doors
double;doubled
double;doubles
doubt;doubted
doubt;doubts
doubt;doubting
doubtful;doubtfuls
down;downs
down;downed
down;downing
downgrade;downgrades
downgrade;downgraded
downside;downsides
downsize;downsizing
downsize;downsized
dr;drest
drachma;drachmas
draft;drafts
draft;drafted
draft;drafting
drag;dragged
drag;dragging
drag;drags
dragon;dragons
dram;drams
draught;draughts
draught;draughting
draught;draughted
draw;drawn
draw;drew
draw;draws
draw;drawed
drawback;drawbacks
drawdown;drawdowns
drawer;drawers
drawing;drawings
dress;dressed
dress;dresses
dressing;dressings
drill;drills
drill;drilled
drilling;drillings
drink;drinking
drink;drank
drink;drinks
drive;driven
drive;drives
drive;driving
driver;drivers
drop;drops
drop;dropped
drug;drugs
drug;drugged
dry;drying
dry;dried
dry;dries
dry;driest
dry;drys
dry;dryed
dual;duals
duality;dualities
due;dueing
dummy;dummies
dummy;dummied
dummy;dummys
dummy;dummying
dump;dumped
dump;dumps
dump;dumping
dun;duns
dun;dunned
duplicate;duplicated
duplicate;duplicates
duplicate;duplicating
duplication;duplications
durability;durabilities
durable;durables
duration;durations
duty;duties
duty;dutys
dwelling;dwellings
ea;eas
early;earlier
early;earliest
early;earlies
earmark;earmarked
earmark;earmarks
earmark;earmarking
earn;earned
earn;earning
earn;earns
earner;earners
earnest;earnests
earnout;earnouts
earth;earthing
earth;earthed
earth;earths
earthquake;earthquakes
easement;easements
easing;easings
eating;eatings
ecm;ecms
econometric;econometrics
economy;economies
ecu;ecus
ed;eds
ed;eder
edge;edges
edge;edged
edit;edited
edit;edits
edition;editions
edition;editioned
edition;editioning
education;educations
ef;efs
effect;effects
effect;effected
effect;effecting
effective;effectives
efficiency;efficiencies
effort;efforts
eg;egging
eg;egs
eg;egest
eg;eger
elastic;elastics
elasticity;elasticities
elect;elected
elect;elects
elect;electing
election;elections
elective;electives
electric;electrics
electrical;electricals
electricity;electricities
element;elements
eligibility;eligibilities
eliminate;eliminates
eliminate;eliminated
eliminate;eliminating
elimination;eliminations
elsewhere;elsewheres
em;ems
embargo;embargos
embassy;embassies
embed;embedded
embed;embeds
embed;embedding
embezzlement;embezzlements
emerge;emerged
emerge;emerges
emerge;emerging
emergence;emergences
emergency;emergencies
emission;emissions
emolument;emoluments
empirical;empiricals
employ;employed
employ;employs
employ;employing
employee;employees
employer;employers
employment;employments
emu;emus
en;ened
en;ens
enable;enabled
enable;enabling
enable;enables
enabler;enablers
enact;enacted
enact;enacting
enact;enacts
enactment;enactments
enclave;enclaves
encourage;encouraging
encourage;encouraged
encourage;encourages
encourage;encourageing
encryption;encryptions
encumber;encumbered
encumber;encumbers
encumber;encumbering
encumbrance;encumbrances
end;ended
end;ends
endeavor;endeavors
ending;endings
endorse;endorsed
endorse;endorsing
endorse;endorses
endorsement;endorsements
endowment;endowments
energy;energies
enforcement;enforcements
engage;engaged
engage;engages
engage;engaging
engagement;engagements
engineer;engineers
engineer;engineered
engineering;engineerings
english;englished
english;englishing
english;englishes
enhance;enhances
enhance;enhanced
enhance;enhancing
enhancement;enhancements
enlarge;enlarged
enlarge;enlarging
enlarge;enlarges
enquiry;enquiries
enrichment;enrichments
enrol;enrolled
enrol;enrolling
enrol;enrols
ensure;ensuring
ensure;ensures
ensure;ensured
enter;entering
enter;enters
enter;entered
enterprise;enterprises
entertain;entertained
entertain;entertaining
entertain;entertains
entertainment;entertainments
entitle;entitled
entitle;entitling
entitle;entitles
entitlement;entitlements
entity;entities
entrepreneur;entrepreneurs
entrust;entrusted
entrust;entrusts
entrust;entrusting
entry;entries
environment;environments
eoz;eozs
equal;equals
equal;equalled
equal;equalling
equality;equalities
equation;equations
equip;equipped
equip;equipping
equip;equips
equipment;equipments
equity;equities
equivalence;equivalenced
equivalence;equivalences
equivalent;equivalents
erm;erms
erp;erps
err;errs
err;erred
error;errors
escalation;escalations
escape;escaped
escape;escaping
escape;escapes
escheat;escheated
escheat;escheats
escudo;escudos
esop;esops
establish;established
establish;establishing
establish;establishes
establishment;establishments
estate;estates
estimate;estimated
estimate;estimates
estimate;estimating
estimation;estimations
euro;euros
eurobond;eurobonds
eurocurrency;eurocurrencies
eurodollar;eurodollars
euromarket;euromarkets
euronote;euronotes
europe;europes
european;europeans
ev;evs
evaluate;evaluating
evaluate;evaluated
evaluate;evaluates
evaluation;evaluations
evasion;evasions
even;evens
even;evened
event;events
event;eventing
evergreen;evergreens
evidence;evidenced
evidence;evidences
evidence;evidencing
ex;exes
exam;exams
examination;examinations
examine;examined
examine;examining
examine;examines
examiner;examiners
example;examples
example;exampled
exceed;exceeding
exceed;exceeds
exceed;exceeded
excel;excelled
excel;excels
excel;excelling
except;excepted
except;excepting
except;excepts
exception;exceptions
exceptional;exceptionals
excess;excesses
exchange;exchanged
exchange;exchanges
exchange;exchanging
excise;excised
excise;excises
excise;excising
exclude;excluding
exclude;excluded
exclude;excludes
exclusion;exclusions
exclusive;exclusives
execute;executed
execute;executing
execute;executes
execution;executions
executive;executives
executor;executors
exempt;exempted
exempt;exempting
exempt;exempts
exemption;exemptions
exercise;exercises
exercise;exercised
exercise;exercising
exhibition;exhibitions
exile;exiles
exile;exiled
exile;exiling
exist;existed
exist;exists
exist;existing
existence;existences
exit;exits
exit;exited
exit;exiting
expand;expanding
expand;expanded
expand;expands
expect;expected
expect;expecting
expect;expects
expectancy;expectancies
expectation;expectations
expedient;expedients
expend;expended
expend;expending
expend;expends
expendable;expendables
expenditure;expenditures
expense;expenses
expense;expensing
expense;expensed
experience;experienced
experience;experiences
experience;experiencing
experiment;experiments
experiment;experimenting
experiment;experimented
expert;experts
expert;experting
expire;expired
expire;expires
expire;expiring
explain;explained
explain;explains
explain;explaining
explanation;explanations
exploding;explodings
exploitation;exploitations
exploration;explorations
explore;explored
explore;explores
explore;exploring
explosion;explosions
export;exported
export;exports
export;exporting
expose;exposed
expose;exposes
expose;exposing
exposure;exposures
express;expressed
express;expresses
express;expressing
expropriation;expropriations
expunge;expunged
extend;extended
extend;extends
extend;extending
extension;extensions
extent;extents
external;externals
externality;externalities
extinction;extinctions
extinguish;extinguished
extinguish;extinguishing
extinguish;extinguishes
extra;extras
extract;extracted
extract;extracts
extract;extracting
extraction;extractions
extraordinary;extraordinaries
extrapolate;extrapolated
extrapolate;extrapolating
extrapolate;extrapolates
extrapolation;extrapolations
fa;fas
fa;faer
face;faced
face;faces
facility;facilities
fact;facts
fact;facted
facto;factos
factor;factors
factore;factoring
factore;factored
factory;factories
factory;factorys
fail;failed
fail;fails
failure;failures
fair;fairer
fair;fairs
fair;fairest
fair;faired
faith;faiths
faithful;faithfuls
fall;falls
fall;fallen
family;families
family;familys
fare;fared
fare;fares
fare;faring
farm;farms
farm;farmed
farm;farming
fast;fastest
fast;faster
fast;fasts
fast;fasted
fate;fated
fate;fates
fate;fatest
fatigue;fatigues
fatigue;fatigued
fatigue;fatiguing
fax;faxes
fax;faxed
fax;faxing
feature;featured
feature;features
feature;featuring
federal;federals
federation;federations
fee;fees
fee;feeing
feed;fed
feed;feeds
feedback;feedbacks
feeder;feeders
feet;feets
fellow;fellows
fen;fens
fence;fences
fence;fenced
fertiliser;fertilisers
ff;ffs
fiddly;fiddlier
fide;fides
fiduciary;fiduciaries
field;fields
field;fielding
field;fielded
fight;fought
fight;fights
figure;figures
figure;figured
figure;figuring
file;filed
file;files
filename;filenames
filer;filers
filing;filings
fill;filled
fill;fills
film;filming
film;films
film;filmed
fin;fins
fin;finned
fin;finning
final;finals
finance;financed
finance;finances
financial;financials
financier;financiers
financing;financings
finder;finders
finding;findings
fine;fines
fine;finest
fine;finer
fine;fined
finish;finished
finish;finishes
finite;finites
fire;fired
fire;fires
firewall;firewalls
firing;firings
firm;firmer
firm;firms
firm;firming
firm;firmed
firm;firmest
first;firsts
fiscal;fiscals
fish;fishes
fish;fished
fishbone;fishbones
fishing;fishings
fit;fitted
fit;fits
fit;fittest
fitch;fitches
fitch;fitched
fitting;fittings
fix;fixed
fix;fixes
fixation;fixations
fixing;fixings
fixture;fixtures
fixture;fixturing
flag;flagged
flag;flags
flag;flagging
flash;flashes
flash;flashed
flash;flashest
flat;flats
flat;flattest
flex;flexed
flex;flexes
flexibility;flexibilities
flier;fliers
flight;flights
flight;flighted
flight;flighting
flip;flips
flip;flipped
flip;flipping
float;floating
float;floats
float;floated
floatation;floatations
flood;floods
flood;flooded
flooding;floodings
floor;floors
floor;floored
florin;florins
flotation;flotations
flow;flows
flow;flowed
flowchart;flowcharts
flowchart;flowcharting
flower;flowers
flower;flowered
fluctuate;fluctuated
fluctuate;fluctuates
fluctuate;fluctuating
fluctuation;fluctuations
flyer;flyers
fob;fobbed
fob;fobbing
fob;fobs
focus;focussed
focus;focusing
focus;focuses
focus;focused
focus;focussing
focus;foci
folio;folios
follow;follows
follow;followed
following;followings
food;foods
foot;foots
foot;footed
footing;footings
footnote;footnotes
footnote;footnoted
for;fors
for;forrest
force;forces
force;forced
force;forcing
fore;fores
forecast;forecasts
forecast;forecasting
forecast;forecasted
foreclose;foreclosing
foreclose;foreclosed
foreclose;forecloses
foreclosure;foreclosures
forensic;forensics
forest;forests
forest;forested
foreward;forewarded
forfait;forfaiting
forfeit;forfeited
forfeit;forfeiting
forfeit;forfeits
forfeiture;forfeitures
forgery;forgeries
forgiveness;forgivenesses
forint;forints
form;forms
form;formed
formal;formals
format;formats
format;formatted
format;formatting
formation;formations
former;formers
forming;formings
formula;formulae
formula;formulas
forum;forums
forum;fora
forward;forwarded
forward;forwards
forward;forwarding
forwarder;forwarders
fossil;fossils
found;founded
found;founding
found;founds
foundation;foundations
founder;foundered
founder;foundering
founder;founders
fourth;fourths
fra;fras
fractionation;fractionations
frame;framed
frame;frames
framework;frameworks
franc;francs
franchise;franchising
franchise;franchised
franchise;franchises
franchisee;franchisees
franchisor;franchisors
frank;franked
frank;franker
frank;frankest
frank;franking
fraud;frauds
free;freed
free;frees
free;freeing
free;freest
free;freer
freehold;freeholds
freelancer;freelancers
freestand;freestanding
freeze;frozen
freeze;freezes
freeze;froze
freeze;freezing
freeze;freezed
freight;freights
freight;freighted
freight;freighting
french;frencher
french;frenches
french;frenching
french;frenched
frequency;frequencies
frequent;frequented
frequent;frequents
frequent;frequenting
fresh;freshest
friendly;friendlier
friendly;friendliest
friendly;friendlies
fringe;fringed
fringe;fringes
fringe;fringing
frn;frns
front;fronts
front;fronted
front;fronting
frontier;frontiers
frustration;frustrations
fuel;fuelled
fuel;fuels
fuel;fuelling
fuel;fueled
fulfil;fulfilled
fulfil;fulfilling
fulfil;fulfils
fulfilment;fulfilments
full;fullest
full;fulling
full;fulled
full;fulls
function;functions
function;functioned
function;functioning
functional;functionals
fund;funded
fund;funds
fundamental;fundamentals
funding;fundings
fundraise;fundraising
furnish;furnished
furnish;furnishes
furnishing;furnishings
furniture;furnitures
further;furthering
further;furthered
further;furthers
future;futures
gaa;gaas
gadfly;gadflies
gain;gained
gain;gains
gain;gaining
gain;gainest
gallon;gallons
gamble;gambled
gamble;gambling
gamble;gambles
game;games
game;gamest
gap;gaps
gap;gapped
gap;gapping
garage;garages
garage;garaged
garage;garaging
garner;garnered
garner;garnering
garnish;garnished
garnish;garnishes
garnish;garnishing
gas;gases
gas;gassing
gas;gasses
gathering;gatherings
gdp;gdps
ge;ged
ge;ging
gear;gearing
gear;gears
gear;geared
general;generals
generalist;generalists
generalize;generalizes
generalize;generalized
generalize;generalizing
generate;generated
generate;generates
generate;generating
generation;generations
generator;generators
geography;geographies
geometric;geometrics
ghost;ghosted
ghost;ghosts
ghost;ghosting
gi;gis
gift;gifts
gift;gifted
gilt;gilts
giro;giros
give;gives
give;gave
give;givest
give;giveth
give;giveing
given;givens
giving;givings
gnp;gnps
go;went
go;gone
go;goes
go;goin'
go;gos
goal;goals
goal;goaled
going;goings
gold;golds
gold;golding
golden;goldens
goldilock;goldilocks
gourde;gourdes
govern;governs
govern;governed
govern;governing
governance;governances
government;governments
grace;graces
grace;graced
grace;gracing
grade;graded
grade;grades
grading;gradings
graduate;graduating
graduate;graduated
graduate;graduates
grant;grants
grant;granting
grant;granted
grantee;grantees
grantor;grantors
graph;graphs
graph;graphing
graph;graphed
gratia;gratias
graveyard;graveyards
gray;graying
gray;grays
great;greats
greater;greaters
greatest;greatests
green;greens
green;greening
green;greenest
green;greened
grey;greying
grey;greys
grey;greyed
gross;grossest
gross;grossed
gross;grossing
gross;grosser
gross;grosses
ground;grounds
ground;grounded
group;groups
group;grouped
grouping;groupings
grove;groves
grow;grown
grow;growing
grow;grew
grow;grows
grow;growed
growth;growths
guarantee;guaranteed
guarantee;guaranteeing
guarantee;guarantees
guarantor;guarantors
guide;guided
guide;guides
guide;guiding
guideline;guidelines
guilder;guilders
gull;gulls
gull;gulled
h;hed
hacker;hackers
had;hads
haircut;haircuts
haircut;haircutting
half;halves
half;halfs
hand;hands
hand;handed
hand;handing
handbook;handbooks
handcuff;handcuffed
handcuff;handcuffs
handcuff;handcuffing
handle;handled
handle;handles
handling;handlings
handshake;handshakes
hang;hangs
hang;hung
hang;hanged
hard;harder
hard;hardest
harm;harming
harm;harms
harm;harmed
harmonise;harmonising
harmonise;harmonised
harmonise;harmonises
harmonization;harmonizations
harmonize;harmonizing
harmonize;harmonized
harmonize;harmonizes
harp;harping
harp;harps
harp;harped
harvest;harvested
harvest;harvests
harvest;harvesting
hash;hashes
hash;hashed
hash;hashing
have;'ve
have;has
have;having
have;'d
have;'ave
have;haves
have;haveing
have;haved
haven;havens
hazard;hazards
hazard;hazarded
hazard;hazarding
he;his
he;him
he;'e
he;'im
he;'is
head;heads
head;headed
headcount;headcounts
heading;headings
headline;headlines
headline;headlined
headline;headlining
health;healths
healthy;healthier
healthy;healthiest
heat;heated
heat;heating
heat;heats
hectare;hectares
hedge;hedges
hedge;hedged
hedge;hedging
hello;hellos
help;helped
help;helps
her;hering
herd;herds
herd;herded
herd;herding
here;heres
heritage;heritages
herring;herrings
hide;hidden
hide;hides
hide;hid
hide;hiding
hierarchy;hierarchies
higg;higgs
high;highest
high;highs
higher;highers
highlight;highlighted
highlight;highlights
highlight;highlighting
hire;hired
hire;hires
hiring;hirings
historical;historicals
history;histories
hmo;hmos
hoc;hocs
hold;held
hold;holds
holdback;holdbacks
holder;holders
holding;holdings
hole;holes
hole;holed
hole;holing
holiday;holidays
holiday;holidaying
holiday;holidayed
home;homes
home;homed
home;homing
homeowner;homeowners
honour;honours
honour;honoured
honour;honouring
hope;hoping
hope;hoped
hope;hopes
horizon;horizons
horizontal;horizontals
hospitality;hospitalities
host;hosting
host;hosts
host;hosted
hostile;hostiles
hot;hots
hot;hottest
hot;hotting
hot;hotted
hotel;hotels
hour;hours
house;houses
house;housed
household;households
household;householding
housing;housings
how;hows
hr;hrs
hug;hugged
hug;hugs
human;humans
hunting;huntings
hurdle;hurdles
hurdle;hurdled
hurdle;hurdling
hurricane;hurricanes
hybrid;hybrids
hydrocarbon;hydrocarbons
hypercube;hypercubes
hyperinflation;hyperinflations
hypothesis;hypotheses
hypothetical;hypotheticals
i;my
iac;iacs
idb;idbs
ideal;ideals
identification;identifications
identifier;identifiers
identify;identifying
identify;identified
identify;identifies
identity;identities
idle;idled
idle;idling
ie;ied
ie;ies
if;ifs
ifa;ifas
iia;iias
illegal;illegals
image;images
image;imaged
imbalance;imbalances
imbalance;imbalanced
imbalance;imbalancing
immature;immatures
immediate;immediates
immovable;immovables
immoveable;immoveables
immunize;immunized
immunize;immunizing
impact;impacts
impact;impacted
impact;impacting
impair;impairs
impair;impaired
impair;impairing
impairment;impairments
implement;implemented
implement;implementing
implement;implements
implementation;implementations
implication;implications
imply;implying
imply;implied
imply;implies
import;imported
import;importing
import;imports
importance;importances
impose;imposed
impose;imposes
impose;imposing
imposition;impositions
impracticality;impracticalities
improve;improved
improve;improving
improve;improves
improvement;improvements
imputation;imputations
impute;imputed
impute;imputes
impute;imputing
in;ins
in;inned
inability;inabilities
inadequacy;inadequacies
incentive;incentives
inception;inceptions
incidence;incidences
incident;incidents
incidental;incidentals
include;includes
include;included
include;including
inclusion;inclusions
income;incomes
incoming;incomings
incompatible;incompatibles
incompetence;incompetences
inconsistency;inconsistencies
incorporate;incorporates
incorporate;incorporated
incorporate;incorporating
incorporation;incorporations
incorrect;incorrects
increase;increases
increase;increased
increase;increasing
incremental;incrementals
incur;incurred
incur;incurring
incur;incurs
indemnity;indemnities
indenture;indentured
indenture;indentures
independent;independents
index;indices
index;indexing
index;indexed
index;indexes
indicate;indicates
indicate;indicated
indicate;indicating
indication;indications
indicator;indicators
individual;individuals
induce;induced
induce;induces
induce;inducing
inducement;inducements
inductance;inductances
industrial;industrials
industry;industries
inefficiency;inefficiencies
ineligible;ineligibles
inference;inferences
inference;inferencing
inferior;inferiors
inflation;inflations
inflow;inflows
inflow;inflowing
influence;influenced
influence;influences
influence;influencing
information;informations
infrastructure;infrastructures
infringe;infringed
infringe;infringing
infringe;infringer
infringe;infringes
infusion;infusions
inherit;inherited
inherit;inheriting
inherit;inherits
inheritance;inheritances
initial;initials
initial;initialled
initial;initialling
initiate;initiated
initiate;initiates
initiate;initiating
initiation;initiations
initiative;initiatives
injunction;injunctions
innovation;innovations
input;inputs
input;inputted
input;inputting
inquire;inquired
inquire;inquiring
inquire;inquires
inquiry;inquiries
inseparable;inseparables
insertion;insertions
inside;insides
insider;insiders
insolvency;insolvencies
insolvent;insolvents
inspect;inspected
inspect;inspects
inspect;inspecting
inspection;inspections
inspector;inspectors
instability;instabilities
installation;installations
installment;installments
instalment;instalments
instate;instated
instate;instating
institute;instituted
institute;institutes
institute;instituting
institution;institutions
institutional;institutionals
instruction;instructions
instruction;instructioning
instrument;instruments
instrument;instrumented
instrument;instrumenting
insurance;insurances
insured;insureds
insurer;insurers
intake;intakes
intangible;intangibles
integral;integrals
integrate;integrating
integrate;integrated
integrate;integrates
integration;integrations
intellectual;intellectuals
intelligence;intelligences
intend;intended
intend;intends
intend;intending
intensify;intensified
intensify;intensifying
intensify;intensifies
intensity;intensities
intent;intents
intention;intentions
inter;interred
inter;interring
interaction;interactions
interchange;interchanged
interchange;interchanges
interconnection;interconnections
interdependency;interdependencies
interest;interests
interest;interested
interest;interesting
interface;interfaces
interface;interfaced
interface;interfacing
interim;interims
interlocking;interlockings
intermediary;intermediaries
intermediate;intermediates
intermediate;intermediated
intermediate;intermediating
internal;internals
international;internationals
interpolation;interpolations
interpretation;interpretations
interrelate;interrelated
interrelate;interrelating
interrelate;interrelates
interrelationship;interrelationships
interruption;interruptions
interval;intervals
intervene;intervened
intervene;intervenes
intervene;intervening
intervention;interventions
interview;interviews
interview;interviewed
interview;interviewing
intestate;intestates
intrinsic;intrinsics
introduction;introductions
inventory;inventories
inventory;inventoried
inverse;inverses
invest;invested
invest;investing
invest;invests
investigation;investigations
investment;investments
investor;investors
invisible;invisibles
invitation;invitations
invoice;invoices
invoice;invoiced
invoice;invoicing
involve;involved
involve;involving
involve;involves
involvement;involvements
iou;ious
ipo;ipos
irc;ircs
iron;ironing
iron;ironed
iron;irons
irr;irrs
irregular;irregulars
irregularity;irregularities
island;islands
island;islanded
island;islanding
iso;isos
isolate;isolated
isolate;isolates
isolate;isolating
isr;isrs
issuance;issuances
issue;issues
issue;issued
issue;issuing
issuer;issuers
isv;isvs
it;its
it;'t
item;items
itemise;itemised
itemise;itemising
itemise;itemises
itemize;itemizing
itemize;itemized
itemize;itemizes
iva;ivas
jackpot;jackpots
japan;japanned
japan;japanning
jar;jarring
jar;jars
jar;jarred
jeopardy;jeopardies
jersey;jerseys
jewel;jewels
jewel;jewelled
jewel;jewelling
job;jobs
joint;joints
joint;jointed
journal;journals
journal;journalling
judgement;judgements
judgment;judgments
jump;jumping
jump;jumped
jump;jumps
junior;juniors
junk;junking
junk;junked
junk;junks
jurisdiction;jurisdictions
just;juster
just;justs
justification;justifications
justify;justifies
justify;justified
justify;justifying
kanban;kanbans
keep;kept
keep;keeping
keep;keeps
keep;keeped
keeper;keepers
key;keys
key;keyed
key;keying
keynesian;keynesians
keystroke;keystrokes
kick;kicking
kick;kicks
kick;kicked
kickback;kickbacks
kicker;kickers
killer;killers
kind;kinds
kind;kindest
kind;kinder
kip;kipped
kip;kipping
kit;kits
kit;kitted
kit;kitting
kit;kiting
kite;kites
knight;knights
knight;knighted
knight;knighting
knock;knocked
knock;knocks
know;knew
know;knowing
know;known
know;knows
know;knowin'
know;knowed
knowledge;knowledges
krone;kroner
kroon;kroons
kwacha;kwachas
kwanza;kwanzas
kyat;kyats
l;ls
label;labels
label;labelled
label;labeled
label;labeling
labor;labors
labour;labours
labour;labouring
labour;laboured
lack;lacked
lack;lacks
ladder;ladders
ladder;laddered
lading;ladings
lag;lags
lag;lagged
lag;lagging
laggard;laggards
lake;lakes
lakh;lakhs
lan;lans
land;landed
land;lands
landfill;landfills
landing;landings
landlord;landlords
language;languages
lapping;lappings
lapse;lapsed
lapse;lapses
lapse;lapsing
large;largest
large;larger
last;lasting
last;lasts
last;lasted
last;lastest
lat;lats
late;latest
late;later
late;lates
latin;latins
lattice;lattices
lattice;latticed
launder;laundered
launder;laundering
launder;launders
laundry;laundries
law;laws
law;lawed
law;lawing
lawsuit;lawsuits
lawyer;lawyers
lawyer;lawyering
lay;laying
lay;laid
lay;lays
lay;layed
layaway;layaways
layer;layers
layer;layered
layoff;layoffs
layout;layouts
lbo;lbos
ldc;ldcs
lea;leas
leach;leached
leach;leaches
leach;leaching
lead;leads
leader;leaders
leadership;leaderships
leading;leadings
lean;leans
lean;leaned
lean;leant
lean;leaner
lean;leanest
leap;leapt
leap;leaping
leap;leaps
leap;leaped
learn;learned
learn;learnt
learn;learns
learning;learnings
lease;leased
lease;leases
leasehold;leaseholding
leasehold;leaseholds
leasing;leasings
least;leastest
leave;leaved
lecture;lecturing
lecture;lectures
lecture;lectured
led;leds
ledger;ledgers
ledger;ledgering
ledger;ledgered
legacy;legacies
legality;legalities
legislation;legislations
lek;lekking
lek;leks
lemon;lemons
lemon;lemoned
lempira;lempiras
lend;lends
lender;lenders
lending;lendings
length;lengths
lent;lents
less;lessing
lessee;lessees
lesson;lessons
lessor;lessors
letter;letters
letter;lettered
letting;lettings
lev;levs
level;levels
level;levelling
level;levelled
lever;levers
lever;levered
lever;levering
leverage;leveraged
leverage;leveraging
leverage;leverages
levy;levied
levy;levies
levy;levying
liability;liabilities
liaison;liaisons
liberalisation;liberalisations
library;libraries
licence;licences
licence;licencing
licence;licenced
license;licensing
license;licenses
license;licensed
lie;lying
lie;lies
lie;lain
lie;lied
lie;lieing
lien;liens
life;lives
life;lifes
lifetime;lifetimes
lift;lifted
lift;lifting
lift;lifts
light;lights
light;lighting
light;lightest
light;lighted
like;liked
like;likes
likelihood;likelihoods
likely;likeliest
likely;likelier
likely;likelies
limit;limited
limit;limits
limit;limiting
limitation;limitations
line;lines
line;lined
link;links
link;linked
linker;linkers
linking;linkings
lip;lips
lip;lipped
liquefy;liquefied
liquefy;liquefying
liquefy;liquefies
liquid;liquids
liquidate;liquidated
liquidate;liquidating
liquidation;liquidations
liquidator;liquidators
list;listed
list;lists
listing;listings
lita;litas
literacy;literacies
litigation;litigations
little;littles
live;lived
living;livings
livre;livres
load;loaded
load;loads
loading;loadings
loan;loans
loan;loaned
loan;loaning
local;locals
locate;located
locate;locating
locate;locates
location;locations
lock;locked
lock;locks
lodge;lodged
lodge;lodges
lodge;lodging
log;logs
log;logged
log;logging
logic;logics
long;longer
long;longest
long;longed
long;longs
longitudinal;longitudinals
look;looks
look;looked
looking;lookings
loop;loops
loop;looping
loop;looped
loose;loosed
loose;loosing
loose;looses
lose;lost
lose;losing
lose;loses
loss;losses
loss;lossing
lot;lotted
lot;lots
loti;lotis
lottery;lotteries
low;lowest
low;lows
low;lowed
lower;lowered
lower;lowers
loyalty;loyalties
lp;lps
lump;lumps
lump;lumped
lump;lumping
luxury;luxuries
lyon;lyons
m;med
m;ming
m;mest
mac;macs
machine;machines
machine;machining
machine;machined
machinery;machineries
macro;macros
macroeconomic;macroeconomics
mad;maddest
mad;madding
mad;mads
made;mader
magnify;magnifying
magnify;magnified
magnify;magnifies
magnitude;magnitudes
mail;mails
mail;mailed
mainline;mainlining
mainline;mainlines
mainstream;mainstreams
mainstream;mainstreaming
maintain;maintained
maintain;maintaining
maintain;maintains
majesty;majesties
major;majors
majority;majorities
make;makes
make;maketh
make;maked
make;makeing
make;makest
maker;makers
making;makings
malpractice;malpractices
man;manning
man;manned
man;mans
manage;managed
manage;managing
manage;manages
management;managements
manager;managers
managerial;managerials
mandate;mandated
mandate;mandates
mandate;mandating
manifest;manifested
manifest;manifesting
manifest;manifests
manipulation;manipulations
manner;manners
manual;manuals
manufacture;manufactured
manufacture;manufactures
manufacture;manufacturing
manufacturer;manufacturers
map;maps
map;mapped
mapping;mappings
margin;margins
marginal;marginals
marine;marines
maritime;maritimes
mark;marks
mark;marked
marker;markers
market;markets
market;marketed
marketing;marketings
marking;markings
markup;markups
marriage;marriages
married;marrieds
marshal;marshalled
marshal;marshalling
marshal;marshals
mary;maryed
mask;masks
mask;masked
mask;masking
mass;masses
mass;massed
master;masters
master;mastered
master;mastering
masthead;mastheads
mat;mats
mat;matted
mat;matting
match;matched
match;matches
matching;matchings
material;materials
materiality;materialities
matrix;matrices
matrix;matrixed
matrix;matrixes
matt;matts
matter;mattered
matter;matters
matter;mattering
mature;matured
mature;matures
mature;maturing
maturity;maturities
max;maxed
max;maxing
maximum;maxima
maximum;maximums
may;mays
mb;mbs
mb;mbest
mbe;mbes
mbo;mbos
mc;mcs
md;mds
meal;meals
mean;means
mean;meant
mean;meanest
mean;meaner
mean;meaned
measure;measured
measure;measures
measure;measuring
measurement;measurements
mechanism;mechanisms
media;medias
median;medians
mediator;mediators
medical;medicals
medium;mediums
meet;meets
meet;meeted
meet;meetest
meeting;meetings
member;members
member;membered
